mntiadd,mntiadmin,mntiadminnum,mntidetails,mntihigh,mntilistno,mntiname,mntinfdt,mntisname,mntisummary,mntitop,region
전라남도 해남군 송지면 해원리,해남군청,061-530-5114,( - ),334.8,468200101,가공산,20201201, , , ,전라남도
경기도 가평군 북면 목동리,가평군청,031-580-2114,"경기 제1봉인 화악산(1,468m)에서 동남쪽으로 뻗어 내린 능선 상에 솟아 있는 가덕산은 몽덕산과 북배산의 능선 중간에 자리 잡고 있다. 억새산이라고 할 만큼 가을철에 억새가 볼만하다.
 수백 평의 억새밭인 가덕산 정상에 오르면 서북방향으로 화악산이 보이고, 남쪽으로는 목동평야와 북배산, 계관산 너머로 삼악산으로 이어지는 능선이 한눈에 들어 온다. 동쪽으로는 의암호와 춘천호, 그리고 호반의 도시, 춘천시가 보인다.
 가덕산은 계관산, 북배산, 몽덕산과 더불어 네 개의 산을 연결하여 등산하는 유명한 종주 코스이다. 이 능선에 구축된 등산길은 넓게 길이 잘 뚫려 있고 굴곡이 심하지 않아 겨울철 능선 종주산행지로 적격이다.",857.5,418200101,가덕산,20201201, , , ,경기도
전라남도 담양군 월산면 오성리,담양군청,061-380-3114,( - ),0.0,467100101,가덕산,20201201, , , ,전라남도
강원특별자치도 태백시 원동 ,태백시청,033-552-1360,"높이는 1,078m로 항상 검게 보여 붙여진 이름이다. 검은산 또는 가덕산이라고도 한다. 면산(面山, 1,221m)과 마주한 산이다. 산행은 상사미리 버스정류소에서 원동리 일정골 혹은 평지골을 거쳐 정상에 오르는 코스가 개발되어 있다. 현재 가덕산 고지대 훈련장이 들어서 있는데, 특히 중장거리 육상선수의 전지훈련지로 최적의 장소이다.",1079.8,421900101,가덕산,20201201, , , ,강원특별자치도
경상북도 울릉군 서면 남양리,울릉군청,054-791-2191,( - ),196.9,479400101,가두봉,20201201, , , ,경상북도
강원특별자치도 인제군 상남면 상남리,인제군청,033-461-2122,( - ),1057.7,428100101,가득봉,20201201, , , ,강원특별자치도
경상남도 거제시 남부면 다대리,거제시청,055-639-3000,"제주도 다음으로 큰 섬인 거제도에는 해발 500m가 넘는 산이 7개가 있다. 그중에서도 가라산은 도토리 키재기에서 1등을 차지해 `거제도 제1봉'이란 이름을 얻고 있는 산이다. 그래서인지 높이는 얼마 안 되지만, 산행하기가 쉽지 않다. 
경상남도 남단 거제시의 최고봉으로 주봉은 가래봉이다. 산길에 서면 해안선이 가장 긴 한국 제2의 섬 거제도와 주변의 여러 섬은 물론 북쪽으로 진해시·마산시·고성군, 서쪽으로 통영시를 마주하고, 남·동쪽으로 남해를 굽어볼 수 있다. 부산 영도가 지척이고 갠 날은 쓰시마섬[對馬島]이 가물거릴 만큼 조망이 뛰어나다. 
가라산 곁에 계룡산(鷄龍山:566m)·노자산(老子山: 565m)·앵산(鶯山:507m)·산방산(山芳山:507m)·선자산(扇子山:507m)·옥녀봉(玉女 峰:555m) 등 500m대 비탈산이 많아 농지가 적지만 바다로 둘려 수산물이 풍부하다. 계룡산∼가라산 종주(약 25㎞)보다 노자산∼가라산 쪽이 인기다. 두 산은 1cm 사이라는 거제 유머가 있다. 
봄이면 고로쇠 약수 채취로 붐비고 해양성기후에 잘 자라는 아열대식물인 동백나무·팔손이나무·소철·종려나무 등 600여 종이 우거졌다. 노자산의 천연기념물인 학동의 동백림(233)은 세계적인 팔색조(八色鳥:204) 번식지이며, 서불의 불로초 신화에 얽힌 신선산의 산삼 또한 손꼽는다. 거제 해금강이 보이는 학동고개에서 오르면 벼늘［露積］바위ㆍ선녀바위가 있는 주능선 삼거리에 닿고, 다도해의 수묵화가 펼쳐진다. 

.",0.0,483100101,가라산,20201201, , , ,경상남도
경기도 포천시 신북면 가채리,포천시청,031-538-2114,( - ),306.7,416500101,가랑산,20201201, , , ,경기도
경상남도 밀양시 단장면 단장리,밀양시청,055-359-5114,경상남도 밀양시 단장면의 단장리서 가래봉으로 올라 안법리와 무릉리를 갈라놓은 능선을 타고 동남쪽으로 휘어지면서 무릉리와 감물리를 넘나드는 깨밭 고개로 내려선다. 여기서 다시 지친 몸을 추스르고 남진하면서 천지봉을 거쳐 금오산과 분기봉인 680m 봉에선 서북방면의 지능선을 타고 감물 저수지로 내려선다. 도상 12.5km에 달하는 이 코스의 특징은 산행길 내내 짙은 송림 숲 속을 거닐면서도 찾는 이 없어서인지 원시 상태 그대로의 야생 숲이어서 산길 또한 투박하고 험난하다.,502.2,482700101,가래봉,20201201, , , ,경상남도
경기도 이천시 율면 고당리,이천시청,031-644-2000,( - ),128.9,415000101,가래산,20201201, , , ,경기도
충청북도 청주시 상당구 남성면 인경리,청주시 상당구청,043-201-5114,( - ),543.2,431100101,가래산,20201201, , , ,충청북도
전라북도 전주시 덕진구 덕진동2가 ,전주시청,063-222-1000,전주의 지세가 북서쪽이 공결하여 바로 그 지점에서 기맥이 누설되고 있다. 그러한 까닭에 서쪽으로 가련산에서 동쪽으로 건지산으로 큰 제방을 쌓아 그 누설을 막고 이름을 붙이기를 덕진이라 하였다.,70.2,451100101,가련산,20201201, , , ,전라북도
강원특별자치도 인제군 북면 한계리,인제군청,033-461-2122,"가리봉은 설악산국립공원에 속하는 산으로 설악산 귀때기청봉(1,580m)과 대승령을 잇는 설악산 서북 주능선과 마주 보고 있어 독립된 산처럼 보인다. 멀리서 보면 봉우리가 둥글둥글 완만해 보이지만 험준한 바위봉우리들이 많은 산이다.
 산행 들머리는 옥녀탕 앞이나 한계령에서 시작하는데 오르다 보면 산의 남서쪽에 이 산의 명물 팔례 약수가 있다.
 가리봉 주능선은 등산인들의 왕래가 거의 없는 관계로 등산로가 뚜렷하지 않으므로 산행 시 주의해야 하는 곳이다.",1518.5,428100201,가리봉,20201201, , , ,강원특별자치도
경기도 포천시 이동면 도평리,포천시청,031-538-2114,"백운산과 국망봉 사이에 있는 신로봉에서 서쪽인 이동면 장암리 방면으로 뻗어내린 능선 상에 우뚝 솟은 가리산은 험준한 바위로 이루어진 산이다. 산 아래에서 볼 때 정산 주위는 두 개의 바위봉우리로 되어 있으며, 정상에서 서쪽과 북쪽 지역은 민간인 출입금지구역으로 주의를 요구하는 곳이다. 백운산과 국망봉 사이에 있는 신로봉에서 서쪽인 이동면 장암리 방면으로 뻗어내린 능선 상에 우뚝 솟은 가리산(774.3m)은 험준한 바위로 이루어진 산이다. 산 아래에서 볼 때 정상 주위는 두 개의 바위봉우리로 되어 있으며, 정상에서 서쪽과 북쪽 지역은 민간인 출입 금지구역으로 주의를 요구하는 곳이다. 정상에서의 사방 조망은 경기 제일의 고봉인 화악산, 명지산에 이어 세 번째로 높은 국망봉(1,168m)과 신로봉으로 이어지는 능선이 파노라마를 이룬다. 도평교를 하산 지점으로 잡을 경우 하산길은 지루함을 느낄 만큼 계곡 길의 연속이다. 가리산이란 명칭은 현재 폐광된 산 입구의 가리광산에서 유래됐다는 설이 전해진다. 가리란 바로 비료의 주성분 가운데 하나인 칼륨의 일본식 발음이다.",774.3,416500201,가리산,20201201, , , ,경기도
