mntiadd,mntiadmin,mntiadminnum,mntidetails,mntihigh,mntilistno,mntiname,mntinfdt,mntisname,mntisummary,mntitop,admin_primary,admin_secondary,height_category,details_length,has_rock,has_water,gradient,암반구간비율,course_distance_km,누적상승고도,peakfit_score,weather_status,tour_demand_score,transport_score
전라남도 해남군 송지면 해원리,해남군청,061-530-5114,( - ),334.8,468200101,가공산,20201201, , , ,전라남도,해남군,초급(300~600m),5,False,False,12.49080237694725,2.622640442998251,2.2531036522767467,294.7539155743231,19.8,맑음(안전),49.8,88.7
경기도 가평군 북면 목동리,가평군청,031-580-2114,"경기 제1봉인 화악산(1,468m)에서 동남쪽으로 뻗어 내린 능선 상에 솟아 있는 가덕산은 몽덕산과 북배산의 능선 중간에 자리 잡고 있다. 억새산이라고 할 만큼 가을철에 억새가 볼만하다.
 수백 평의 억새밭인 가덕산 정상에 오르면 서북방향으로 화악산이 보이고, 남쪽으로는 목동평야와 북배산, 계관산 너머로 삼악산으로 이어지는 능선이 한눈에 들어 온다. 동쪽으로는 의암호와 춘천호, 그리고 호반의 도시, 춘천시가 보인다.
 가덕산은 계관산, 북배산, 몽덕산과 더불어 네 개의 산을 연결하여 등산하는 유명한 종주 코스이다. 이 능선에 구축된 등산길은 넓게 길이 잘 뚫려 있고 굴곡이 심하지 않아 겨울철 능선 종주산행지로 적격이다.",857.5,418200101,가덕산,20201201, , , ,경기도,가평군,중급(600~1000m),354,False,False,24.01428612819832,5.9507793070025485,3.3752015980452956,738.5979386276477,34.0,맑음(안전),97.6,51.8
전라남도 담양군 월산면 오성리,담양군청,061-380-3114,( - ),,467100101,가덕산,20201201, , , ,전라남도,담양군,,5,False,False,19.6398788362281,0.5142581348425035,6.5849149995417795,,0.0,맑음(안전),91.1,52.8
강원특별자치도 태백시 원동 ,태백시청,033-552-1360,"높이는 1,078m로 항상 검게 보여 붙여진 이름이다. 검은산 또는 가덕산이라고도 한다. 면산(面山, 1,221m)과 마주한 산이다. 산행은 상사미리 버스정류소에서 원동리 일정골 혹은 평지골을 거쳐 정상에 오르는 코스가 개발되어 있다. 현재 가덕산 고지대 훈련장이 들어서 있는데, 특히 중장거리 육상선수의 전지훈련지로 최적의 장소이다.",1079.8,421900101,가덕산,20201201, , , ,강원특별자치도,태백시,고급(1000m~),187,False,False,16.973169683940732,4.963662472012364,7.753136471033113,918.7474541609421,39.0,맑음(안전),91.8,80.6
경상북도 울릉군 서면 남양리,울릉군청,054-791-2191,( - ),196.9,479400101,가두봉,20201201, , , ,경상북도,울릉군,입문(0~300m),5,False,False,8.12037280884873,5.968428489168892,9.985953846840072,153.31402701647957,26.5,흐림(보통),64.4,64.3
강원특별자치도 인제군 상남면 상남리,인제군청,033-461-2122,( - ),1057.7,428100101,가득봉,20201201, , , ,강원특별자치도,인제군,고급(1000m~),5,False,False,8.119890406724053,3.3424389081696084,9.43146331642024,865.3335274032256,37.6,맑음(안전),85.7,95.9
경상남도 거제시 남부면 다대리,거제시청,055-639-3000,"제주도 다음으로 큰 섬인 거제도에는 해발 500m가 넘는 산이 7개가 있다. 그중에서도 가라산은 도토리 키재기에서 1등을 차지해 `거제도 제1봉'이란 이름을 얻고 있는 산이다. 그래서인지 높이는 얼마 안 되지만, 산행하기가 쉽지 않다. 
경상남도 남단 거제시의 최고봉으로 주봉은 가래봉이다. 산길에 서면 해안선이 가장 긴 한국 제2의 섬 거제도와 주변의 여러 섬은 물론 북쪽으로 진해시·마산시·고성군, 서쪽으로 통영시를 마주하고, 남·동쪽으로 남해를 굽어볼 수 있다. 부산 영도가 지척이고 갠 날은 쓰시마섬[對馬島]이 가물거릴 만큼 조망이 뛰어나다. 
가라산 곁에 계룡산(鷄龍山:566m)·노자산(老子山: 565m)·앵산(鶯山:507m)·산방산(山芳山:507m)·선자산(扇子山:507m)·옥녀봉(玉女 峰:555m) 등 500m대 비탈산이 많아 농지가 적지만 바다로 둘려 수산물이 풍부하다. 계룡산∼가라산 종주(약 25㎞)보다 노자산∼가라산 쪽이 인기다. 두 산은 1cm 사이라는 거제 유머가 있다. 
봄이면 고로쇠 약수 채취로 붐비고 해양성기후에 잘 자라는 아열대식물인 동백나무·팔손이나무·소철·종려나무 등 600여 종이 우거졌다. 노자산의 천연기념물인 학동의 동백림(233)은 세계적인 팔색조(八色鳥:204) 번식지이며, 서불의 불로초 신화에 얽힌 신선산의 산삼 또한 손꼽는다. 거제 해금강이 보이는 학동고개에서 오르면 벼늘［露積］바위ㆍ선녀바위가 있는 주능선 삼거리에 닿고, 다도해의 수묵화가 펼쳐진다. 

.",,483100101,가라산,20201201, , , ,경상남도,거제시,,739,True,False,6.16167224336399,25.418244074916437,6.961804196049128,,0.0,맑음(안전),48.6,45.3
경기도 포천시 신북면 가채리,포천시청,031-538-2114,( - ),306.7,416500101,가랑산,20201201, , , ,경기도,포천시,초급(300~600m),5,False,False,22.323522915498703,1.065982531337718,5.080608452999612,219.50247977289237,23.0,흐림(보통),40.5,70.7
경상남도 밀양시 단장면 단장리,밀양시청,055-359-5114,경상남도 밀양시 단장면의 단장리서 가래봉으로 올라 안법리와 무릉리를 갈라놓은 능선을 타고 동남쪽으로 휘어지면서 무릉리와 감물리를 넘나드는 깨밭 고개로 내려선다. 여기서 다시 지친 몸을 추스르고 남진하면서 천지봉을 거쳐 금오산과 분기봉인 680m 봉에선 서북방면의 지능선을 타고 감물 저수지로 내려선다. 도상 12.5km에 달하는 이 코스의 특징은 산행길 내내 짙은 송림 숲 속을 거닐면서도 찾는 이 없어서인지 원시 상태 그대로의 야생 숲이어서 산길 또한 투박하고 험난하다.,502.2,482700101,가래봉,20201201, , , ,경상남도,밀양시,초급(300~600m),264,False,False,17.022300234864176,0.7513778173580876,6.907507600019978,406.22927457239217,28.2,맑음(안전),41.2,95.1
경기도 이천시 율면 고당리,이천시청,031-644-2000,( - ),128.9,415000101,가래산,20201201, , , ,경기도,이천시,입문(0~300m),5,False,False,19.16145155592091,7.281887562036033,8.178038753681971,108.51629095802389,24.9,맑음(안전),75.2,94.2
